date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Sides
10/3/1999,43.60070684,43.62735764,42.88113527,43.54740524,43.54740524,5232000,0,0,
11/3/1999,43.86720421,44.12038674,42.90777569,43.76060104,43.76060104,9688600,0,0,
12/3/1999,43.60069556,43.62734635,42.34810834,42.69456863,42.69456863,8743600,0,0,
15/3/1999,43.01437485,43.97380329,42.56131143,43.92050171,43.92050171,6369000,0,0,
16/3/1999,44.1070579,44.48016897,43.62734368,44.29361343,44.29361343,4905800,0,0,
17/3/1999,44.29363702,44.34693862,43.84057334,43.97382736,43.97382736,3965000,0,0,
18/3/1999,43.92051771,44.8532957,43.90719231,44.8266449,44.8266449,4848400,0,0,
19/3/1999,45.41295031,45.41295031,43.65399801,43.6806488,43.6806488,7160400,0,0,
22/3/1999,43.86721562,43.97381882,43.06769165,43.14764404,43.14764404,5024800,0,0,
23/3/1999,42.9077978,43.06770264,41.54860669,41.62855911,41.62855911,10962400,0,0,BUY
24/3/1999,42.00164623,43.06767786,41.36202725,43.04102707,43.04102707,8447000,0,0,BUY
25/3/1999,43.70729927,44.61342621,43.42080326,44.61342621,44.61342621,8133800,0,0,BUY
26/3/1999,44.24031976,44.74668487,43.94716102,44.13371658,44.13371658,8256200,0,0,BUY
29/3/1999,44.66674455,45.75942744,44.40023653,45.73277664,45.73277664,5113800,0,0,BUY
30/3/1999,45.67946036,46.05257147,45.22639687,45.41295242,45.41295242,4940600,0,0,BUY
31/3/1999,46.15918504,46.21248664,44.61343866,44.74669266,44.74669266,8256600,0,0,BUY
1/4/1999,46.05257356,46.10587515,44.93324018,45.67946243,45.67946243,8715800,0,0,BUY
5/4/1999,46.41902779,47.39844462,46.13253171,47.33181763,47.33181763,5697200,0,0,BUY
6/4/1999,47.27851522,47.94478516,46.87875325,47.4250946,47.4250946,7522400,0,0,BUY
7/4/1999,47.86482271,47.97142588,45.91931488,46.93204498,46.93204498,11923600,0,0,SELL
8/4/1999,46.85210457,47.53169994,45.89267581,47.30516815,47.30516815,7952400,0,0,SELL
9/4/1999,47.22520509,47.70491936,47.09195113,47.59831619,47.59831619,4946800,0,0,SELL
12/4/1999,46.47897593,47.59830907,46.42567436,47.2784996,47.2784996,10934000,0,0,SELL
13/4/1999,47.57167877,47.67828197,46.26578955,46.63890076,46.63890076,9962200,0,0,SELL
14/4/1999,47.22521775,47.27851935,44.78000684,45.03985214,45.03985214,21253800,0,0,SELL
15/4/1999,45.19975321,45.72610647,43.60070534,45.65281677,45.65281677,17650600,0,0,SELL
16/4/1999,45.54623059,45.54623059,44.08043616,44.32029343,44.32029343,17274000,0,0,SELL
19/4/1999,44.61342915,44.98654027,41.79510768,42.24150848,42.24150848,19460600,0,0,BUY
20/4/1999,42.05496983,43.5474149,41.65520776,43.20095444,43.20095444,17413600,0,0,BUY
21/4/1999,43.60069492,45.35964716,43.01437751,45.33299637,45.33299637,10940400,0,0,BUY
22/4/1999,45.759417,46.69219487,45.45959555,46.55894089,46.55894089,13630600,0,0,BUY
23/4/1999,46.31908385,47.51836968,45.83936952,47.17190933,47.17190933,7064400,0,0,BUY
26/4/1999,47.49171659,48.61104997,47.33847452,48.25792694,48.25792694,5421000,0,0,BUY
27/4/1999,48.61103086,48.85088792,46.91204335,47.51834869,47.51834869,16482800,0,0,SELL
28/4/1999,47.11862585,47.27853069,45.686145,45.89268875,45.89268875,7676800,0,0,SELL
29/4/1999,45.67947038,45.94597837,44.5601368,45.51956558,45.51956558,19148200,0,0,SELL
30/4/1999,46.15918547,46.39904267,44.18702627,45.81272507,45.81272507,15295200,0,0,SELL
3/5/1999,45.67944861,45.86600411,44.80663534,45.57284546,45.57284546,11109800,0,0,SELL
4/5/1999,45.65279116,46.3723623,44.58675984,44.85326767,44.85326767,15428400,0,0,SELL
5/5/1999,44.87993148,46.21247101,43.52074115,46.21247101,46.21247101,12642600,0,0,SELL
6/5/1999,45.78609651,46.1858587,44.10709529,44.5335083,44.5335083,15173400,0,0,SELL
7/5/1999,44.93323856,45.30634967,43.97380998,45.1730957,45.1730957,16430400,0,0,SELL
10/5/1999,45.4662587,45.93264764,44.93324278,45.62616348,45.62616348,10604200,0,0,SELL
11/5/1999,45.99926573,46.58558313,45.73275781,46.34572601,46.34572601,8800800,0,0,SELL
12/5/1999,46.55894578,47.46507295,45.19975503,47.30516815,47.30516815,12507400,0,0,SELL
13/5/1999,47.67827719,47.75822959,46.21248332,46.4256897,46.4256897,9864000,0,0,SELL
14/5/1999,45.51956807,46.05258409,45.19975846,45.54621887,45.54621887,12205400,0,0,SELL
17/5/1999,45.1464673,46.50565847,44.70006628,46.36574173,46.36574173,9906800,0,0,SELL
18/5/1999,46.31906533,46.58557318,45.6261449,46.15916061,46.15916061,9267800,0,0,SELL
19/5/1999,46.34574163,46.82545604,45.62617003,46.79880524,46.79880524,7985600,0,0,SELL
20/5/1999,46.8987389,46.8987389,45.4396078,45.51289749,45.51289749,5997200,0,0,SELL
21/5/1999,45.65281014,45.78606411,44.85328632,45.09314346,45.09314346,10958600,0,0,SELL
24/5/1999,45.1730914,45.25304378,43.65399629,43.947155,43.947155,9569800,0,0,SELL
25/5/1999,43.89385197,44.53347094,42.32145533,42.50801086,42.50801086,17771200,0,0,SELL
26/5/1999,43.06767993,43.86720369,41.73514033,43.69397354,43.69397354,26772000,0,0,BUY
27/5/1999,43.52073015,44.28694019,42.96106369,43.65398407,43.65398407,23334800,0,0,BUY
28/5/1999,43.92051357,44.61343429,43.36084683,44.37357712,44.37357712,12969800,0,0,BUY
1/6/1999,44.29362793,44.50683432,43.14764357,43.38750076,43.38750076,6960200,0,0,BUY
2/6/1999,43.36084043,44.34691977,42.27482061,44.12038803,44.12038803,11996600,0,0,BUY
3/6/1999,44.45351951,44.45351951,43.22758312,43.49409103,43.49409103,11147800,0,0,BUY
4/6/1999,43.81391451,44.979887,43.81391451,44.8266449,44.8266449,12987200,0,0,BUY
7/6/1999,45.13979498,46.04592223,45.03985448,45.75942612,45.75942612,11491800,0,0,BUY
8/6/1999,45.86601344,46.07921978,44.38023178,44.61342621,44.61342621,8134800,0,0,BUY
9/6/1999,44.77333221,45.48624092,44.74668142,45.35964966,45.35964966,8384400,0,0,BUY
10/6/1999,44.87993438,45.1464423,44.30027965,44.83995819,44.83995819,9392400,0,0,BUY
11/6/1999,45.14645325,45.19309214,43.76061171,44.16037369,44.16037369,16567600,0,0,BUY
14/6/1999,44.32025641,44.32025641,43.2275742,43.32751465,43.32751465,14136800,0,0,BUY
15/6/1999,43.43414857,44.23367271,43.30755725,43.97382736,43.97382736,9147800,0,0,BUY
16/6/1999,45.0665065,46.2324791,45.0132049,46.2324791,46.2324791,15060200,0,0,BUY
17/6/1999,45.62616144,46.9587012,45.62616144,46.74549484,46.74549484,16278200,0,0,BUY
18/6/1999,46.31907923,47.09195224,46.23912685,46.95869827,46.95869827,5392800,0,0,BUY
21/6/1999,47.2785088,48.39117945,47.19855641,48.36452866,48.36452866,10565200,0,0,BUY
22/6/1999,48.0780304,48.69099863,46.90539551,46.90539551,46.90539551,10862800,0,0,BUY
23/6/1999,46.91205788,47.75822055,46.61223646,47.64495468,47.64495468,9607000,0,0,BUY
24/6/1999,47.6249715,47.65162229,46.47898729,46.69885635,46.69885635,14988800,0,0,BUY
25/6/1999,47.01201196,47.38512317,46.21248795,46.63890076,46.63890076,8635600,0,0,BUY
28/6/1999,47.0386424,47.81151528,46.65220596,47.74488831,47.74488831,7666200,0,0,BUY
29/6/1999,47.70492176,48.58439797,47.46506461,48.39784241,48.39784241,9000400,0,0,BUY
30/6/1999,48.44448249,51.11622468,47.8714904,49.14406586,49.14406586,19467600,0,0,BUY
1/7/1999,49.30397319,49.75703673,48.45114771,49.47720337,49.47720337,6822600,0,0,BUY
2/7/1999,49.46388121,50.15680196,49.46388121,50.10350037,50.10350037,3302000,0,0,BUY
6/7/1999,50.37001669,50.87638194,49.51719101,49.78369904,49.78369904,8794800,0,0,BUY
7/7/1999,49.75704807,50.07685769,49.41058763,49.86365128,49.86365128,10520000,0,0,BUY
8/7/1999,49.86364112,50.73645472,49.62378394,50.52991104,50.52991104,11225000,0,0,BUY
9/7/1999,50.7164682,51.08957937,50.34335703,51.03627777,51.03627777,4206800,0,0,BUY
12/7/1999,51.2228467,51.48935475,50.47662417,50.76978302,50.76978302,7816200,0,0,BUY
13/7/1999,50.52991104,50.71646662,50.13014909,50.52991104,50.52991104,6230000,0,0,BUY
14/7/1999,51.03627741,51.48934097,50.31670588,51.38940048,51.38940048,6909400,0,0,BUY
15/7/1999,51.56927951,51.8624382,51.28278351,51.8624382,51.8624382,6539800,0,0,BUY
16/7/1999,51.88910334,52.63532568,51.86911524,52.3421669,52.3421669,4913800,0,0,SELL
19/7/1999,52.55537303,52.55537303,51.60260701,51.8091507,51.8091507,6833000,0,0,SELL
20/7/1999,51.17618642,51.24947611,49.67707928,49.81033325,49.81033325,14837400,0,0,SELL
21/7/1999,49.91694361,50.48327306,49.51718165,50.0501976,50.0501976,10980400,0,0,SELL
22/7/1999,50.05017823,50.05017823,48.63768652,48.77760315,48.77760315,15148400,0,0,SELL
23/7/1999,49.14405744,49.35060106,48.34453373,48.85089874,48.85089874,12115000,0,0,SELL
26/7/1999,48.18463097,48.7176468,47.57166277,47.65161514,47.65161514,10720000,0,0,SELL
27/7/1999,48.61105347,49.35727578,48.19796612,48.61105347,48.61105347,13732800,0,0,SELL
28/7/1999,49.19737143,49.83699056,48.56441499,49.56381989,49.56381989,10161800,0,0,SELL
29/7/1999,48.63770574,49.03746771,48.02473739,48.50445175,48.50445175,13033800,0,0,SELL
30/7/1999,48.71766245,49.25067845,48.19130915,48.26459885,48.26459885,10947400,0,0,SELL
2/8/1999,48.34453491,49.30396339,47.94477305,48.13132858,48.13132858,9642400,0,0,SELL
3/8/1999,48.79094171,48.7976044,47.11860436,47.81818771,47.81818771,13005000,0,0,SELL
4/8/1999,47.81818087,48.17796655,46.912054,46.95203018,46.95203018,13227600,0,0,SELL
5/8/1999,46.95871295,47.69827271,45.83937927,47.69827271,47.69827271,18695200,0,0,SELL
6/8/1999,47.35845276,48.23792881,46.85208776,47.18522263,47.18522263,12392200,0,0,SELL
9/8/1999,47.35846183,47.4917158,46.48564831,46.57892609,46.57892609,7983400,0,0,SELL
10/8/1999,46.45231926,46.79211677,45.14643076,46.15916061,46.15916061,16767200,0,0,BUY
11/8/1999,46.98535534,47.75822845,46.27910921,47.67827606,47.67827606,13101400,0,0,BUY
12/8/1999,47.86484822,48.1846579,47.01202242,47.11862564,47.11862564,12715000,0,0,BUY
13/8/1999,48.10469103,49.22402456,48.02473863,49.17072296,49.17072296,14342600,0,0,BUY
16/8/1999,49.14406983,49.73038737,48.82426027,49.56381989,49.56381989,11470600,0,0,BUY
17/8/1999,49.99688881,50.05019039,48.90420627,49.81033325,49.81033325,11408400,0,0,BUY
18/8/1999,49.57048478,50.18345314,49.06411961,49.2506752,49.2506752,7035200,0,0,BUY
19/8/1999,48.79760257,49.14406288,48.35120178,48.6643486,48.6643486,10157800,0,0,BUY
20/8/1999,48.71765763,49.43722916,48.45114965,49.43722916,49.43722916,6920800,0,0,BUY
23/8/1999,49.8902873,51.00962067,49.77702142,51.00962067,51.00962067,9652000,0,0,BUY
24/8/1999,50.6365152,51.91575348,50.53657471,51.35608673,51.35608673,13891400,0,0,BUY
25/8/1999,51.67588423,52.6619635,51.11621761,52.44875717,52.44875717,11352000,0,0,BUY
26/8/1999,52.44875639,52.63531193,51.49599062,51.57594299,51.57594299,9753000,0,0,BUY
27/8/1999,51.96238777,51.96905047,50.92966946,51.06292343,51.06292343,9635400,0,0,BUY
30/8/1999,51.27612724,51.436032,50.21009549,50.34334946,50.34334946,10141600,0,0,BUY
31/8/1999,50.68981259,51.22282849,49.57047919,50.90301895,50.90301895,14590400,0,0,BUY
1/9/1999,51.2228237,51.70253797,50.90301418,51.26946259,51.26946259,10752000,0,0,BUY
2/9/1999,50.31669611,51.35607702,50.21009294,51.08956909,51.08956909,14583200,0,0,BUY
3/9/1999,52.55537998,53.45484452,52.36882437,53.43485641,53.43485641,14195400,0,0,BUY
7/9/1999,53.32824988,53.86126587,53.11504348,53.19499588,53.19499588,9009000,0,0,BUY
8/9/1999,52.87517235,53.4081882,52.04899778,52.47541046,52.47541046,14303400,0,0,BUY
9/9/1999,52.50205873,53.35488405,52.23555082,53.2216301,53.2216301,12677600,0,0,BUY
10/9/1999,53.94119024,54.36094011,53.32822217,53.8345871,53.8345871,10251000,0,0,BUY
13/9/1999,53.7813003,53.88790348,52.90182413,53.18832016,53.18832016,7240800,0,0,BUY
14/9/1999,52.98177727,53.85459075,52.8751741,53.48147964,53.48147964,10022600,0,0,BUY
15/9/1999,54.14774511,54.14774511,52.39545559,52.44875717,52.44875717,16096000,0,0,BUY
16/9/1999,52.42211914,52.9018335,51.33609913,52.42211914,52.42211914,15371000,0,0,BUY
17/9/1999,52.90182806,54.10111383,52.82187567,53.99451065,53.99451065,14506400,0,0,BUY
20/9/1999,54.15440342,54.36760973,53.75464159,54.12108994,54.12108994,6187200,0,0,BUY
21/9/1999,53.64805118,53.75465437,52.66863445,52.82187653,52.82187653,12265800,0,0,BUY
22/9/1999,52.90183168,53.66137939,52.26221255,53.38154602,53.38154602,12441800,0,0,BUY
23/9/1999,53.94121178,54.04781497,50.8563821,51.16952896,51.16952896,19766000,0,0,BUY
24/9/1999,50.84970098,51.43601829,49.99687581,51.23613739,51.23613739,23570800,0,0,BUY
27/9/1999,51.96906998,52.34218125,51.43605388,51.59595871,51.59595871,12608800,0,0,BUY
28/9/1999,51.33609017,52.02234809,50.23674496,51.83579254,51.83579254,20622000,0,0,BUY
29/9/1999,51.83579439,52.20890551,50.79641342,50.79641342,50.79641342,15557000,0,0,BUY
30/9/1999,51.27613185,51.86244936,50.63651274,51.32943344,51.32943344,17604200,0,0,BUY
1/10/1999,50.63650612,51.34941483,50.10349027,51.34941483,51.34941483,19607400,0,0,BUY
4/10/1999,51.62258381,52.68861548,51.3294251,52.50205994,52.50205994,12434200,0,0,BUY
5/10/1999,52.68861612,53.51479067,51.75583839,52.87517166,52.87517166,19526400,0,0,BUY
6/10/1999,53.19498409,54.01449599,52.38879758,53.93454361,53.93454361,19098200,0,0,BUY
7/10/1999,54.23435789,54.4942031,53.4081834,53.80794525,53.80794525,22013600,0,0,BUY
8/10/1999,53.59475463,54.52753255,52.87518308,54.37429047,54.37429047,22523200,0,0,BUY
11/10/1999,54.52751569,55.16713465,54.39426175,55.14048386,55.14048386,13016000,0,0,SELL
12/10/1999,54.95394076,55.39367889,53.72800416,53.88790894,53.88790894,20182800,0,0,SELL
13/10/1999,53.27493586,53.9145549,52.07565016,52.28885651,52.28885651,22570600,0,0,SELL
14/10/1999,52.47542449,52.98178968,51.6225989,52.61534119,52.61534119,22130400,0,0,SELL
15/10/1999,51.27612979,52.02235206,50.74977659,51.06292343,51.06292343,33703000,0,0,SELL
18/10/1999,51.11623234,51.30278793,48.96418032,50.41664886,50.41664886,24714800,0,0,BUY
19/10/1999,50.96297468,51.22281989,49.83697877,50.68980408,50.68980408,26657200,0,0,BUY
20/10/1999,51.46268075,52.65530373,50.95631569,52.23555374,52.23555374,22486400,0,0,BUY
21/10/1999,51.38273187,53.08838272,51.00962075,53.08838272,53.08838272,22454800,0,0,BUY
22/10/1999,53.40152999,53.94120859,52.66197044,52.848526,52.848526,16589400,0,0,BUY
25/10/1999,52.60866374,53.45482639,52.3954574,52.87517166,52.87517166,13855400,0,0,BUY
26/10/1999,53.51478882,53.80794753,52.34215401,52.44875717,52.44875717,13542400,0,0,BUY
27/10/1999,52.31550335,52.55536047,51.5492931,52.36880493,52.36880493,15225200,0,0,BUY
28/10/1999,53.19498148,54.36761634,52.71526721,54.18106079,54.18106079,14103800,0,0,BUY
29/10/1999,55.43366494,56.49969696,55.24710934,56.07328415,56.07328415,19000000,0,0,BUY
1/11/1999,56.07325662,56.73952631,55.7068083,55.78009796,55.78009796,9681800,0,0,BUY
2/11/1999,56.07326456,56.76618513,55.60021301,55.81341934,55.81341934,12834800,0,0,BUY
3/11/1999,56.60627316,57.24589206,56.44636843,56.92608261,56.92608261,18752600,0,0,BUY
4/11/1999,57.71896933,57.83223523,56.95275884,57.56572723,57.56572723,20048600,0,0,BUY
5/11/1999,58.73834454,59.03150325,58.15202713,58.15202713,58.15202713,15134600,0,0,BUY
8/11/1999,58.36525904,59.53123168,58.17870342,59.32468796,59.32468796,10890800,0,0,BUY
9/11/1999,59.80439553,59.91099873,58.41855393,58.92491913,58.92491913,14629800,0,0,BUY
10/11/1999,58.95155082,60.20413802,58.6850429,59.69777298,59.69777298,16561000,0,0,BUY
11/11/1999,60.3374306,60.84379596,59.80441443,60.76384354,60.76384354,18501400,0,0,BUY
12/11/1999,61.08361733,61.61663319,59.16476024,61.5633316,61.5633316,28646600,0,0,BUY
15/11/1999,61.61667357,61.82988005,61.13695898,61.4434433,61.4434433,10909400,0,0,BUY
16/11/1999,61.669951,63.2956498,61.403443,63.002491,63.002491,19126400,0,0,BUY
17/11/1999,63.00246437,63.27563495,61.82982967,62.14963913,62.14963913,21683600,0,0,BUY
18/11/1999,62.57604198,64.05516052,62.202931,64.05516052,64.05516052,17738400,0,0,BUY
19/11/1999,63.77535597,64.73478464,63.5354988,64.62818146,64.62818146,17939400,0,0,BUY
22/11/1999,64.76143085,66.09397058,63.64209747,63.64209747,63.64209747,18841800,0,0,BUY
23/11/1999,65.18783654,65.24113812,63.32228112,63.93524933,63.93524933,24047600,0,0,BUY
24/11/1999,64.12180018,66.30050224,63.45553044,66.04065704,66.04065704,18617800,0,0,BUY
26/11/1999,66.86685171,67.18666129,65.98737538,66.25388336,66.25388336,8045200,0,0,BUY
29/11/1999,66.12063021,66.68029697,65.08124908,65.16120148,65.16120148,20485200,0,0,BUY
30/11/1999,65.29447635,65.40107958,62.6826973,62.6826973,62.6826973,23702400,0,0,BUY
1/12/1999,63.37556994,64.36164904,62.89585579,64.0418396,64.0418396,23205800,0,0,BUY
2/12/1999,64.28172373,66.20058116,64.24174754,66.07398987,66.07398987,17229200,0,0,BUY
3/12/1999,67.63976328,68.38598604,67.29330271,67.4798584,67.4798584,21444600,0,0,BUY
6/12/1999,67.73964285,68.65243238,67.10668662,68.09276581,68.09276581,16018400,0,0,BUY
7/12/1999,68.30597212,68.57248001,67.23327786,68.09276581,68.09276581,23397000,0,0,BUY
8/12/1999,68.11276424,68.6457801,67.1066968,67.26660156,67.26660156,19563000,0,0,BUY
9/12/1999,68.22601415,68.59912516,65.88074491,67.58639526,67.58639526,28445400,0,0,BUY
10/12/1999,68.14608765,68.38594482,66.62699222,68.14608765,68.14608765,20428400,0,0,BUY
13/12/1999,67.91287989,69.36534804,67.61305849,69.07218933,69.07218933,16209200,0,0,BUY
14/12/1999,68.86566752,69.26542952,67.37322271,67.82628632,67.82628632,27760200,0,0,BUY
15/12/1999,67.05338714,69.13214874,66.46706976,69.13214874,69.13214874,31797200,0,0,BUY
16/12/1999,70.03830555,70.9977344,69.71849594,70.83782959,70.83782959,27219600,0,0,BUY
17/12/1999,72.06376646,72.38357608,71.15097652,71.45079803,71.45079803,23892400,0,0,BUY
20/12/1999,71.98380584,72.70337739,71.37083748,72.38356781,72.38356781,15392000,0,0,BUY
21/12/1999,72.59677188,76.27458191,72.18368452,76.27458191,76.27458191,26003800,0,0,BUY
22/12/1999,76.06134927,76.16795243,74.56890514,76.03469849,76.03469849,22313600,0,0,BUY
23/12/1999,76.64104304,77.39392819,75.9014833,76.94086456,76.94086456,17543600,0,0,BUY
27/12/1999,77.02080895,77.04745975,74.96869743,76.48779297,76.48779297,19281800,0,0,BUY
28/12/1999,76.54108015,77.1806992,75.52834998,76.00806427,76.00806427,15346400,0,0,BUY
29/12/1999,76.75429638,78.88636017,76.64769319,78.88636017,78.88636017,16512600,0,0,BUY
30/12/1999,79.84579314,79.95239633,78.03353882,78.03353882,78.03353882,21887000,0,0,BUY
31/12/1999,78.99295747,79.47267179,77.92692566,77.92692566,77.92692566,14464400,0,0,SELL
3/1/2000,82.0311583,82.0311583,77.39391933,80.80522156,80.80522156,36345200,0,0,SELL
4/1/2000,78.45992809,79.73916604,74.99532528,75.26183319,75.26183319,33786600,0,0,SELL
5/1/2000,74.62224073,76.43449515,71.8505575,73.34300232,73.34300232,42496600,0,0,SELL
6/1/2000,74.0892564,75.04868562,68.01287135,68.30603027,68.30603027,37134800,0,0,SELL
7/1/2000,70.73122226,76.75430298,70.35811106,76.75430298,76.75430298,28138200,0,0,SELL
10/1/2000,77.6071219,80.11229685,76.70099479,78.88636017,78.88636017,29675600,0,0,SELL
11/1/2000,78.24672478,79.20615328,74.19580442,75.04862976,75.04862976,32546600,0,0,SELL
12/1/2000,75.90146062,76.10800428,73.34298442,73.39628601,73.39628601,29050000,0,0,SELL
13/1/2000,75.47504281,78.03351884,74.26243177,77.8203125,77.8203125,25165200,0,0,SELL
14/1/2000,79.31275885,79.8457747,78.45993348,79.63256836,79.63256836,21898600,0,0,SELL
18/1/2000,78.51324432,80.5387048,77.98022841,80.05899048,80.05899048,16752400,0,0,SELL
19/1/2000,79.73253479,81.8712616,78.82640755,81.8712616,81.8712616,19006000,0,0,SELL
20/1/2000,81.44480444,82.61743905,80.17222937,81.07169342,81.07169342,25958000,0,0,SELL
21/1/2000,82.29763318,82.35093476,81.07169694,82.08442688,82.08442688,18698200,0,0,SELL
24/1/2000,83.09716873,83.25707348,77.58045483,78.14012146,78.14012146,28340400,0,0,SELL
25/1/2000,78.35331578,80.2655098,76.24790356,79.31274414,79.31274414,33276200,0,0,SELL
26/1/2000,79.52596356,79.57926514,75.90145583,76.11466217,76.11466217,23095600,0,0,SELL
27/1/2000,78.24670815,78.88632701,74.72880437,77.23397827,77.23397827,30739200,0,0,SELL
