date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Sides
1999-03-10,43.600706840524474,43.62735763932675,42.881135272863006,43.54740524291992,43.54740524291992,5232000,0,0,
1999-03-11,43.867204213113354,44.12038674046729,42.9077756884037,43.76060104370117,43.76060104370117,9688600,0,0,
1999-03-12,43.60069555885039,43.627346350756774,42.34810833925016,42.6945686340332,42.6945686340332,8743600,0,0,
1999-03-15,43.014374853337856,43.97380328872829,42.561311425514596,43.920501708984375,43.920501708984375,6369000,0,0,
1999-03-16,44.10705790192642,44.480168965749364,43.627343677011204,44.29361343383789,44.29361343383789,4905800,0,0,
1999-03-17,44.293637015602805,44.346938624526516,43.84057333975127,43.97382736206055,43.97382736206055,3965000,0,0,
1999-03-18,43.920517711662086,44.85329569704326,43.90719231187093,44.82664489746094,44.82664489746094,4848400,0,0,
1999-03-19,45.412950312094836,45.412950312094836,43.65399801127426,43.68064880371094,43.68064880371094,7160400,0,0,
1999-03-22,43.86721562367298,43.97381882081435,43.067691645112724,43.14764404296875,43.14764404296875,5024800,0,0,
1999-03-23,42.90779780486787,43.06770264140775,41.54860669427889,41.62855911254883,41.62855911254883,10962400,0,0,BUY
1999-03-24,42.00164622965243,43.067677859846654,41.36202725153589,43.0410270690918,43.0410270690918,8447000,0,0,
1999-03-25,43.707299272361766,44.613426208496094,43.42080325578988,44.613426208496094,44.613426208496094,8133800,0,0,
1999-03-26,44.240319763404734,44.746684869130455,43.947161017984584,44.13371658325195,44.13371658325195,8256200,0,0,
1999-03-29,44.66674455229219,45.759427444084544,44.400236529903815,45.7327766418457,45.7327766418457,5113800,0,0,
1999-03-30,45.679460359850964,46.05257147130832,45.22639686736702,45.4129524230957,45.4129524230957,4940600,0,0,
1999-03-31,46.159185040345,46.212486639698746,44.613438659086334,44.7466926574707,44.7466926574707,8256600,0,0,
1999-04-01,46.052573561251094,46.10587515102106,44.933240176081796,45.67946243286133,45.67946243286133,8715800,0,0,
1999-04-05,46.41902778814505,47.398444622486565,46.132531707351276,47.331817626953125,47.331817626953125,5697200,0,0,
1999-04-06,47.27851521684133,47.944785160708875,46.878753250520795,47.42509460449219,47.42509460449219,7522400,0,0,
1999-04-07,47.86482270829451,47.97142587690987,45.91931488106428,46.932044982910156,46.932044982910156,11923600,0,0,SELL
1999-04-08,46.852104569556005,47.5316999430052,45.8926758070395,47.30516815185547,47.30516815185547,7952400,0,0,
1999-04-09,47.22520509145295,47.70491936439095,47.091951126747944,47.59831619262695,47.59831619262695,4946800,0,0,
1999-04-12,46.4789759346705,47.59830907071188,46.42567435676377,47.278499603271484,47.278499603271484,10934000,0,0,
1999-04-13,47.57167877197266,47.67828197370257,46.26578955078125,46.63890075683594,46.63890075683594,9962200,0,0,
1999-04-14,47.22521774924013,47.27851934940857,44.78000684151282,45.039852142333984,45.039852142333984,21253800,0,0,
1999-04-15,45.19975320846103,45.72610646663739,43.600705335520196,45.65281677246094,45.65281677246094,17650600,0,0,
1999-04-16,45.54623058683816,45.54623058683816,44.0804361560154,44.32029342651367,44.32029342651367,17274000,0,0,
1999-04-19,44.61342914954345,44.98654026548945,41.79510768445132,42.24150848388672,42.24150848388672,19460600,0,0,BUY
1999-04-20,42.05496983466363,43.54741489850468,41.655207763991925,43.20095443725586,43.20095443725586,17413600,0,0,
1999-04-21,43.60069491987997,45.35964715992402,43.01437750653195,45.3329963684082,45.3329963684082,10940400,0,0,
