raw_symbol,instrument_id,date
TQQQ  250321C00088000,1426093894,2025-02-26
TQQQ  250321C00088000,1426063826,2025-02-27
TQQQ  250321C00088000,1426087274,2025-02-28
TQQQ  250321C00088000,1426087274,2025-03-01
TQQQ  250321C00088000,1426087274,2025-03-02
TQQQ  250321C00088000,1426093512,2025-03-03
TQQQ  250321C00088000,1426079827,2025-03-04
TQQQ  250321C00088000,1426088013,2025-03-05
TQQQ  250321C00088000,1426080103,2025-03-06
TQQQ  250321C00088000,1426080727,2025-03-07
TQQQ  250321C00088000,1426080727,2025-03-08
TQQQ  250321C00088000,1426080727,2025-03-09
TQQQ  250321C00088000,1426089551,2025-03-10
TQQQ  250321C00088000,1426071848,2025-03-11
TQQQ  250321C00088000,1426104323,2025-03-12
TQQQ  250321C00088000,1426071914,2025-03-13
TQQQ  250321C00088000,1426104681,2025-03-14
TQQQ  250321C00088000,1426104681,2025-03-15
TQQQ  250321C00088000,1426104681,2025-03-16
TQQQ  250321C00088000,1426104720,2025-03-17
TQQQ  250321C00088000,1426080182,2025-03-18
TQQQ  250321C00088000,1426072019,2025-03-19
TQQQ  250321C00088000,1426072106,2025-03-20
TQQQ  250321C00088000,1426072390,2025-03-21
TQQQ  250321C00088000,1426072390,2025-03-22
TQQQ  250321C00088000,1426072390,2025-03-23
TQQQ  250321C00088000,1426091668,2025-03-24
TQQQ  250411P00069000,1426111608,2025-03-04
TQQQ  250411P00069000,1426108385,2025-03-05
TQQQ  250411P00069000,1426101237,2025-03-06
TQQQ  250411P00069000,1426092607,2025-03-07
TQQQ  250411P00069000,1426092607,2025-03-08
TQQQ  250411P00069000,1426092607,2025-03-09
TQQQ  250411P00069000,1426110228,2025-03-10
TQQQ  250411P00069000,1426092043,2025-03-11
TQQQ  250411P00069000,1426066995,2025-03-12
TQQQ  250411P00069000,1426083250,2025-03-13
TQQQ  250411P00069000,1426067071,2025-03-14
TQQQ  250411P00069000,1426067071,2025-03-15
TQQQ  250411P00069000,1426067071,2025-03-16
TQQQ  250411P00069000,1426077536,2025-03-17
TQQQ  250411P00069000,1426077626,2025-03-18
TQQQ  250411P00069000,1426091898,2025-03-19
TQQQ  250411P00069000,1426067119,2025-03-20
TQQQ  250411P00069000,1426084398,2025-03-21
TQQQ  250411P00069000,1426084398,2025-03-22
TQQQ  250411P00069000,1426084398,2025-03-23
TQQQ  250411P00069000,1426080213,2025-03-24
TQQQ  250411P00069000,1426094099,2025-03-25
TQQQ  250417P00078000,1426089184,2025-02-26
TQQQ  250417P00078000,1426074221,2025-02-27
TQQQ  250417P00078000,1426082307,2025-02-28
TQQQ  250417P00078000,1426082307,2025-03-01
TQQQ  250417P00078000,1426082307,2025-03-02
TQQQ  250417P00078000,1426065871,2025-03-03
TQQQ  250417P00078000,1426077205,2025-03-04
TQQQ  250417P00078000,1426099431,2025-03-05
TQQQ  250417P00078000,1426092374,2025-03-06
TQQQ  250417P00078000,1426092233,2025-03-07
TQQQ  250417P00078000,1426092233,2025-03-08
TQQQ  250417P00078000,1426092233,2025-03-09
TQQQ  250417P00078000,1426092582,2025-03-10
TQQQ  250417P00078000,1426075551,2025-03-11
TQQQ  250417P00078000,1426098974,2025-03-12
TQQQ  250417P00078000,1426082833,2025-03-13
TQQQ  250417P00078000,1426082988,2025-03-14
TQQQ  250417P00078000,1426082988,2025-03-15
TQQQ  250417P00078000,1426082988,2025-03-16
TQQQ  250417P00078000,1426076707,2025-03-17
TQQQ  250417P00078000,1426068982,2025-03-18
TQQQ  250417P00078000,1426099603,2025-03-19
TQQQ  250417P00078000,1426066644,2025-03-20
TQQQ  250417P00078000,1426075261,2025-03-21
TQQQ  250417P00078000,1426075261,2025-03-22
TQQQ  250417P00078000,1426075261,2025-03-23
TQQQ  250417P00078000,1426088346,2025-03-24
TQQQ  250417P00078000,1426093759,2025-03-25
TQQQ  250404P00052000,1442872030,2025-03-04
TQQQ  250404P00052000,1442849323,2025-03-05
TQQQ  250404P00052000,1442866282,2025-03-06
TQQQ  250404P00052000,1442870724,2025-03-07
TQQQ  250404P00052000,1442870724,2025-03-08
TQQQ  250404P00052000,1442870724,2025-03-09
TQQQ  250404P00052000,1442865559,2025-03-10
TQQQ  250404P00052000,1442861624,2025-03-11
TQQQ  250404P00052000,1442843694,2025-03-12
TQQQ  250404P00052000,1442855154,2025-03-13
TQQQ  250404P00052000,1442843728,2025-03-14
TQQQ  250404P00052000,1442843728,2025-03-15
TQQQ  250404P00052000,1442843728,2025-03-16
TQQQ  250404P00052000,1442851301,2025-03-17
TQQQ  250404P00052000,1442850783,2025-03-18
TQQQ  250404P00052000,1442860484,2025-03-19
TQQQ  250404P00052000,1442843417,2025-03-20
TQQQ  250404P00052000,1442856632,2025-03-21
TQQQ  250404P00052000,1442856632,2025-03-22
TQQQ  250404P00052000,1442856632,2025-03-23
TQQQ  250404P00052000,1442853360,2025-03-24
TQQQ  250404P00052000,1442872091,2025-03-25
TQQQ  250411P00040000,1426111584,2025-03-04
TQQQ  250411P00040000,1426067895,2025-03-05
TQQQ  250411P00040000,1426109409,2025-03-06
TQQQ  250411P00040000,1426101082,2025-03-07
TQQQ  250411P00040000,1426101082,2025-03-08
TQQQ  250411P00040000,1426101082,2025-03-09
TQQQ  250411P00040000,1426084402,2025-03-10
TQQQ  250411P00040000,1426108255,2025-03-11
TQQQ  250411P00040000,1426066988,2025-03-12
TQQQ  250411P00040000,1426083249,2025-03-13
TQQQ  250411P00040000,1426067064,2025-03-14
TQQQ  250411P00040000,1426067064,2025-03-15
